config_id,label,quantization,mtp,num_speculative_tokens,workload,max_tokens,run_index,elapsed_ms,completion_tokens,tok_per_s,status
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,medium,256,4,1695,256,151.0324,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,medium,256,5,1706,256,150.0586,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,1,3632,512,140.9692,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,2,3648,512,140.3509,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,3,3640,512,140.6593,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,4,3661,512,139.8525,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,5,3643,512,140.5435,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,1,2190,256,116.8950,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,2,2203,256,116.2052,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,3,2193,256,116.7351,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,4,2193,256,116.7351,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,5,2203,256,116.2052,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,1,4705,512,108.8204,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,2,4717,512,108.5436,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,3,4725,512,108.3598,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,4,4726,512,108.3369,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,5,4731,512,108.2224,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,1,2058,256,124.3926,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,2,2089,256,122.5467,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,3,2094,256,122.2541,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,4,2093,256,122.3125,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,5,2095,256,122.1957,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,1,4101,512,124.8476,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,2,4132,512,123.9109,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,3,4137,512,123.7612,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,4,4133,512,123.8810,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,5,4134,512,123.8510,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,1,1778,256,143.9820,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,2,1785,256,143.4174,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,3,1794,256,142.6979,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,4,1789,256,143.0967,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,5,1795,256,142.6184,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,1,3452,512,148.3198,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,2,3475,512,147.3381,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,3,3477,512,147.2534,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,4,3476,512,147.2957,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,5,3470,512,147.5504,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,1,2265,256,113.0243,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,2,2276,256,112.4780,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,3,2272,256,112.6761,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,4,2276,256,112.4780,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,5,2273,256,112.6265,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,1,3886,512,131.7550,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,2,3898,512,131.3494,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,3,3915,512,130.7791,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,4,3906,512,131.0804,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,5,3905,512,131.1140,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,1,2893,256,88.4895,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,2,2905,256,88.1239,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,3,2890,256,88.5813,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,4,2890,256,88.5813,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,5,2896,256,88.3978,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,1,5086,512,100.6685,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,2,5102,512,100.3528,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,3,5122,512,99.9610,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,4,5112,512,100.1565,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,5,5114,512,100.1173,ok
