config_id,label,quantization,mtp,num_speculative_tokens,workload,max_tokens,run_index,elapsed_ms,completion_tokens,tok_per_s,status
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,medium,256,4,1867,256,137.1184,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,medium,256,5,1881,256,136.0978,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,1,3101,512,165.1080,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,2,3103,512,165.0016,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,3,3099,512,165.2146,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,4,3102,512,165.0548,ok
MTP-AWQ4-n3,AWQ4 MTP n=3,awq4,yes,3,long,512,5,3103,512,165.0016,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,1,2309,256,110.8705,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,2,2326,256,110.0602,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,3,2310,256,110.8225,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,4,2318,256,110.4400,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,medium,256,5,2311,256,110.7746,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,1,3907,512,131.0468,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,2,3920,512,130.6122,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,3,3912,512,130.8793,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,4,3908,512,131.0133,ok
MTP-AWQ4-n5,AWQ4 MTP n=5,awq4,yes,5,long,512,5,3911,512,130.9128,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,1,2055,256,124.5742,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,2,2068,256,123.7911,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,3,2083,256,122.8997,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,4,2074,256,123.4330,ok
Base-FP8,FP8 baseline,fp8,no,0,medium,256,5,2063,256,124.0911,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,1,4103,512,124.7867,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,2,4115,512,124.4228,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,3,4123,512,124.1814,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,4,4117,512,124.3624,ok
Base-FP8,FP8 baseline,fp8,no,0,long,512,5,4124,512,124.1513,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,1,1701,256,150.4997,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,2,1725,256,148.4058,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,3,1724,256,148.4919,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,4,1716,256,149.1841,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,medium,256,5,1711,256,149.6201,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,1,3289,512,155.6704,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,2,3291,512,155.5758,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,3,3289,512,155.6704,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,4,3301,512,155.1045,ok
MTP-FP8-n1,FP8 MTP n=1,fp8,yes,1,long,512,5,3299,512,155.1985,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,1,1975,256,129.6203,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,2,1977,256,129.4891,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,3,1957,256,130.8125,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,4,1971,256,129.8833,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,medium,256,5,1968,256,130.0813,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,1,3427,512,149.4018,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,2,3421,512,149.6638,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,3,3435,512,149.0539,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,4,3428,512,149.3582,ok
MTP-FP8-n3,FP8 MTP n=3,fp8,yes,3,long,512,5,3429,512,149.3147,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,1,2567,256,99.7273,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,2,2579,256,99.2633,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,3,2575,256,99.4175,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,4,2580,256,99.2248,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,medium,256,5,2568,256,99.6885,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,1,4579,512,111.8148,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,2,4586,512,111.6441,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,3,4581,512,111.7660,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,4,4576,512,111.8881,ok
MTP-FP8-n5,FP8 MTP n=5,fp8,yes,5,long,512,5,4577,512,111.8637,ok
