config_id,framework,backend,case_id,category,batch_index,request_index,profile,status,elapsed_ms,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,prompt_tokens,completion_tokens,completion_units,tok_per_s,error
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,1,long2k,ok,7304,556.3828945159912,26.461261861464557,19.91105079650879,20.37215232849121,0,0,256,35.049288061336256,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,2,long2k,ok,7323,1077.0723819732666,24.494100084491805,19.921064376831055,20.329713821411133,0,0,256,34.95835040284037,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,3,long2k,ok,7341,1599.9600887298584,22.516404881196863,19.92177963256836,20.28369903564453,0,0,256,34.87263315624574,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,4,long2k,ok,7343,1600.0373363494873,22.5221222522212,19.916772842407227,20.354270935058594,0,0,256,34.863134958463846,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,5,long2k,ok,7361,2070.368766784668,20.74178620880725,19.922971725463867,20.4010009765625,0,0,256,34.777883439750035,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,6,long2k,ok,7359,2070.286989212036,20.740631514904546,19.93846893310547,20.294904708862305,0,0,256,34.78733523576573,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,7,long2k,ok,7371,2304.508924484253,19.947533532390445,19.91415023803711,20.23458480834961,0,0,255,34.59503459503459,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,1,8,long2k,ok,7372,2304.0242195129395,19.87757215312883,19.907236099243164,20.280838012695312,0,0,256,34.725990233315244,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,1,long2k,ok,7325,1578.2012939453125,22.538126216215247,19.936800003051758,20.359516143798828,0,0,256,34.948805460750854,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,2,long2k,ok,7304,1054.3208122253418,24.50720469156901,19.9282169342041,20.335674285888672,0,0,256,35.049288061336256,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,3,long2k,ok,7323,1577.9328346252441,22.529942381615733,19.89603042602539,20.358562469482422,0,0,256,34.95835040284037,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,4,long2k,ok,7284,533.0026149749756,26.47400556826124,19.929885864257812,20.375490188598633,0,0,256,35.14552443712246,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,5,long2k,ok,7340,2048.124074935913,20.754040923773072,19.92940902709961,20.294189453125,0,0,256,34.87738419618529,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,6,long2k,ok,7341,2047.433853149414,20.761574015897864,19.924163818359375,20.378589630126953,0,0,256,34.87263315624574,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,7,long2k,ok,7353,2281.741142272949,19.96202450098954,19.92344856262207,20.37978172302246,0,0,255,34.6797225622195,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,2,8,long2k,ok,7351,2281.608819961548,19.882895899753944,19.929885864257812,20.335674285888672,0,0,256,34.825193851176714,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,3,1,long2k,ok,7277,527.9505252838135,26.467956281175802,19.93584632873535,20.35069465637207,0,0,256,35.179332142366356,
vllm_flashinfer_seq8,vllm,flashinfer,hom_c8_2k_each,homogeneous_stream,3,2,long2k,ok,7317,1572.014570236206,22.523912729001513,19.925355911254883,20.318269729614258,0,0,256,34.98701653683204,
