config_id,framework,backend,label,case_id,concurrency,prompt_tokens,max_tokens,batch_index,request_index,elapsed_ms,completion_tokens,total_tokens,tok_per_s,status,error
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,2,5,7377,256,2445,34.7025,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,2,6,7377,256,2445,34.7025,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,2,7,7389,256,2445,34.6461,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,2,8,7389,256,2445,34.6461,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,1,7305,256,2445,35.0445,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,2,7343,256,2445,34.8631,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,3,7324,256,2445,34.9536,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,4,7343,256,2445,34.8631,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,5,7373,256,2445,34.7213,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,6,7360,256,2445,34.7826,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,7,7360,256,2445,34.7826,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,3,8,7372,256,2445,34.7260,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,1,7316,256,2445,34.9918,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,2,7335,256,2445,34.9012,ok,
